,Add_to_Cart,View_Items,View_Items_quantity,cancelorder,clearcart,deferorder,home,inventory,login,logout,purchasecart,remove,sellinventory,shoppingcart,$
Add_to_Cart,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.6687; norm(1501.00 149.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0983; norm(3997.00 284.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.1202; norm(4003.00 285.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.1128; norm(4008.00 299.00),0.0; norm(0.00 0.00)
View_Items,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
View_Items_quantity,1.0; norm(2001.00 198.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
cancelorder,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(3519.00 365.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
clearcart,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(1000.00 99.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
deferorder,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(2757.00 276.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
home,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(3764.00 456.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
inventory,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.019; norm(2006.00 187.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.481; norm(1996.00 199.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.5; norm(2494.00 252.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
login*,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.4934; norm(1504.00 149.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.5066; norm(2754.00 269.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
logout,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(0.00 0.00)
purchasecart,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(2752.00 280.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
remove,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.2002; norm(2247.00 193.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.2159; norm(2252.00 214.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.5839; norm(2258.00 230.00),0.0; norm(0.00 0.00)
sellinventory,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.2276; norm(3998.00 397.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.7724; norm(4001.00 398.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
shoppingcart,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.6786; norm(1505.00 143.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.3214; norm(1505.00 153.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
